                                     | Core 0    
  Instructions                       |     122622
  Cycles                             |     266266
  IPC                                |       0.46
  Time (ns)                          |     100100
  Idle time (ns)                     |        -31
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |      18291
  num incorrect                      |       1508
  misprediction rate                 |      7.62%
  mpki                               |      12.30
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |       9521
    num misses                       |         40
    miss rate                        |      0.42%
    mpki                             |       0.33
  D-TLB                              |           
    num accesses                     |      58048
    num misses                       |         86
    miss rate                        |      0.15%
    mpki                             |       0.70
  L2 TLB                             |           
    num accesses                     |        126
    num misses                       |        111
    miss rate                        |     88.10%
    mpki                             |       0.91
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |       9521
    num cache misses                 |        688
    miss rate                        |      7.23%
    mpki                             |       5.61
  Cache L1-D                         |           
    num cache accesses               |      58048
    num cache misses                 |       1678
    miss rate                        |      2.89%
    mpki                             |      13.68
  Cache L2                           |           
    num cache accesses               |       2402
    num cache misses                 |       2193
    miss rate                        |     91.30%
    mpki                             |      17.88
  Cache L3                           |           
    num cache accesses               |       2229
    num cache misses                 |       2191
    miss rate                        |     98.30%
    mpki                             |      17.87
DRAM summary                         |           
  num dram accesses                  |       2191
  average dram access latency (ns)   |      72.15
  average dram queueing delay        |      18.72
  average dram bandwidth utilization |     18.00%
Coherency Traffic                    |           
  num loads from dram                |       1058
  num loads from dram cache          |          0
  num loads from remote cache        |          0
