                                     | Core 0    
  Instructions                       |    7803852
  Cycles                             |    6665428
  IPC                                |       1.17
  Time (ns)                          |    2505800
  Idle time (ns)                     |         -9
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |     953443
  num incorrect                      |     171546
  misprediction rate                 |     15.25%
  mpki                               |      21.98
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1274643
    num misses                       |         44
    miss rate                        |      0.00%
    mpki                             |       0.01
  D-TLB                              |           
    num accesses                     |    3578612
    num misses                       |         72
    miss rate                        |      0.00%
    mpki                             |       0.01
  L2 TLB                             |           
    num accesses                     |        116
    num misses                       |        114
    miss rate                        |     98.28%
    mpki                             |       0.01
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1274643
    num cache misses                 |        717
    miss rate                        |      0.06%
    mpki                             |       0.09
  Cache L1-D                         |           
    num cache accesses               |    3578612
    num cache misses                 |       1690
    miss rate                        |      0.05%
    mpki                             |       0.22
  Cache L2                           |           
    num cache accesses               |       2444
    num cache misses                 |       2222
    miss rate                        |     90.92%
    mpki                             |       0.28
  Cache L3                           |           
    num cache accesses               |       2259
    num cache misses                 |       2222
    miss rate                        |     98.36%
    mpki                             |       0.28
DRAM summary                         |           
  num dram accesses                  |       2222
  average dram access latency (ns)   |      72.35
  average dram queueing delay        |      18.92
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |       1062
  num loads from dram cache          |          0
  num loads from remote cache        |          0
