                                     | Core 0    
  Instructions                       |     157706
  Cycles                             |     313614
  IPC                                |       0.50
  Time (ns)                          |     117900
  Idle time (ns)                     |         54
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |      23322
  num incorrect                      |       1497
  misprediction rate                 |      6.03%
  mpki                               |       9.49
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      29538
    num misses                       |         40
    miss rate                        |      0.14%
    mpki                             |       0.25
  D-TLB                              |           
    num accesses                     |      93056
    num misses                       |         75
    miss rate                        |      0.08%
    mpki                             |       0.48
  L2 TLB                             |           
    num accesses                     |        115
    num misses                       |        109
    miss rate                        |     94.78%
    mpki                             |       0.69
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      29538
    num cache misses                 |        688
    miss rate                        |      2.33%
    mpki                             |       4.36
  Cache L1-D                         |           
    num cache accesses               |      93056
    num cache misses                 |       1682
    miss rate                        |      1.81%
    mpki                             |      10.67
  Cache L2                           |           
    num cache accesses               |       2407
    num cache misses                 |       2192
    miss rate                        |     91.07%
    mpki                             |      13.90
  Cache L3                           |           
    num cache accesses               |       2229
    num cache misses                 |       2192
    miss rate                        |     98.34%
    mpki                             |      13.90
DRAM summary                         |           
  num dram accesses                  |       2192
  average dram access latency (ns)   |      71.97
  average dram queueing delay        |      18.54
  average dram bandwidth utilization |     15.00%
Coherency Traffic                    |           
  num loads from dram                |       1061
  num loads from dram cache          |          0
  num loads from remote cache        |          0
